wav [Å]	Ti	Fe	Ni	Cu	Cd	W	Pb	Al	Zn	ZnO
0.248	0.284	0.981	1.696	0.705	16.393	0.446	0.364	0.086	0.274	0.311
0.249	0.285	0.981	1.696	0.705	16.458	0.446	0.364	0.086	0.274	0.311
0.25	0.285	0.981	1.696	0.706	16.523	0.447	0.364	0.086	0.274	0.311
0.251	0.285	0.982	1.696	0.706	16.588	0.447	0.364	0.086	0.274	0.311
0.252	0.285	0.982	1.696	0.706	16.653	0.448	0.364	0.086	0.274	0.311
0.253	0.285	0.982	1.697	0.706	16.718	0.449	0.364	0.086	0.274	0.311
0.254	0.286	0.982	1.697	0.706	16.783	0.449	0.364	0.086	0.274	0.311
0.255	0.286	0.982	1.697	0.707	16.848	0.45	0.364	0.086	0.274	0.311
0.256	0.286	0.982	1.697	0.707	16.913	0.451	0.364	0.086	0.274	0.311
0.257	0.286	0.982	1.697	0.707	16.978	0.451	0.364	0.086	0.274	0.311
0.258	0.286	0.982	1.698	0.707	17.043	0.452	0.364	0.086	0.274	0.312
0.259	0.287	0.982	1.698	0.707	17.107	0.453	0.364	0.086	0.274	0.312
0.26	0.287	0.983	1.698	0.707	17.172	0.453	0.364	0.086	0.274	0.312
0.261	0.287	0.983	1.698	0.708	17.237	0.454	0.364	0.086	0.274	0.312
0.262	0.287	0.983	1.698	0.708	17.302	0.454	0.364	0.086	0.274	0.312
0.263	0.287	0.983	1.699	0.708	17.367	0.455	0.364	0.086	0.274	0.312
0.264	0.287	0.983	1.699	0.708	17.432	0.456	0.364	0.086	0.274	0.312
0.265	0.288	0.983	1.699	0.708	17.497	0.456	0.364	0.086	0.275	0.312
0.266	0.288	0.983	1.699	0.708	17.562	0.457	0.364	0.086	0.275	0.312
0.267	0.288	0.983	1.699	0.709	17.627	0.458	0.364	0.086	0.275	0.312
0.268	0.288	0.983	1.7	0.709	17.692	0.458	0.364	0.086	0.275	0.312
0.269	0.288	0.984	1.7	0.709	17.757	0.459	0.364	0.086	0.275	0.312
0.27	0.289	0.984	1.7	0.709	17.822	0.46	0.364	0.086	0.275	0.312
0.271	0.289	0.984	1.7	0.709	17.886	0.46	0.364	0.086	0.275	0.312
0.272	0.289	0.984	1.7	0.709	17.951	0.461	0.364	0.086	0.275	0.312
0.273	0.289	0.984	1.701	0.71	18.016	0.461	0.364	0.086	0.275	0.312
0.274	0.289	0.984	1.701	0.71	18.081	0.462	0.364	0.086	0.275	0.312
0.275	0.29	0.984	1.701	0.71	18.146	0.463	0.364	0.086	0.275	0.312
0.276	0.29	0.984	1.701	0.71	18.211	0.463	0.364	0.086	0.275	0.312
0.277	0.29	0.984	1.701	0.71	18.276	0.464	0.364	0.086	0.275	0.312
0.278	0.29	0.985	1.702	0.71	18.341	0.465	0.364	0.086	0.275	0.312
0.279	0.29	0.985	1.702	0.711	18.406	0.465	0.364	0.086	0.275	0.312
0.28	0.291	0.985	1.702	0.711	18.471	0.466	0.364	0.086	0.275	0.312
0.281	0.291	0.985	1.702	0.711	18.536	0.467	0.364	0.086	0.275	0.312
0.282	0.291	0.985	1.702	0.711	18.601	0.467	0.364	0.086	0.275	0.312
0.283	0.291	0.985	1.703	0.711	18.666	0.468	0.364	0.086	0.275	0.312
0.284	0.291	0.985	1.703	0.711	18.73	0.468	0.364	0.086	0.275	0.312
0.285	0.292	0.985	1.703	0.712	18.795	0.469	0.364	0.086	0.275	0.312
0.286	0.292	0.985	1.703	0.712	18.86	0.47	0.364	0.086	0.275	0.312
0.287	0.292	0.986	1.703	0.712	18.925	0.47	0.364	0.086	0.275	0.312
0.288	0.292	0.986	1.704	0.712	18.99	0.471	0.364	0.086	0.275	0.312
